[Wed Mar 25 20:36:33 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:34 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:35 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:36 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:37 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:38 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:39 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:40 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:41 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:42 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:43 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:44 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:45 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:46 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:47 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:48 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:49 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:50 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:51 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:52 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:53 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:54 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:55 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:56 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:57 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:58 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:59 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:00 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:02 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:03 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:04 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:05 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:06 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:07 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:08 2026] R1:20, R2:10, EMER:0 -> GREEN:1
